product,chemical_formula,density
H,H,8.4e-05
He,He,0.000166
Li,Li,0.534
Be,Be,1.848
B,B,2.37
C,C,2.0
N,N,0.001165
O,O,0.001332
F,F,0.00158
Ne,Ne,0.000839
Na,Na,0.971
Mg,Mg,1.74
Al,Al,2.6989
Si,Si,2.33
P,P,2.2
S,S,2.0
Cl,Cl,0.002995
Ar,Ar,0.001662
K,K,0.862
Ca,Ca,1.55
Sc,Sc,2.989
Ti,Ti,4.54
V,V,6.11
Cr,Cr,7.18
Mn,Mn,7.44
Fe,Fe,7.874
Co,Co,8.9
Ni,Ni,8.902
Cu,Cu,8.96
Zn,Zn,7.133
Ga,Ga,5.904
Ge,Ge,5.323
As,As,5.73
Se,Se,4.5
Br,Br,0.007072
Kr,Kr,0.003478
Rb,Rb,1.532
Sr,Sr,2.54
Y,Y,4.469
Zr,Zr,6.506
Nb,Nb,8.57
Mo,Mo,10.22
Tc,Tc,11.5
Ru,Ru,12.41
Rh,Rh,12.41
Pd,Pd,12.02
Ag,Ag,10.5
Cd,Cd,8.65
In,In,7.31
Sn,Sn,7.31
Sb,Sb,6.691
Te,Te,6.24
I,I,4.93
Xe,Xe,0.005485
Cs,Cs,1.873
Ba,Ba,3.5
La,La,6.154
Ce,Ce,6.657
Pr,Pr,6.71
Nd,Nd,6.9
Pm,Pm,7.22
Sm,Sm,7.46
Eu,Eu,5.243
Gd,Gd,7.9004
Tb,Tb,8.229
Dy,Dy,8.55
Ho,Ho,8.795
Er,Er,9.066
Tm,Tm,9.321
Yb,Yb,6.73
Lu,Lu,9.84
Hf,Hf,13.31
Ta,Ta,16.654
W,W,19.3
Re,Re,21.02
Os,Os,22.57
Ir,Ir,22.42
Pt,Pt,21.45
Au,Au,19.32
Hg,Hg,13.546
Tl,Tl,11.72
Pb,Pb,11.35
Bi,Bi,9.747
Po,Po,9.32
At,At,9.32
Rn,Rn,0.009066
Fr,Fr,1.0
Ra,Ra,5.0
Ac,Ac,10.07
Th,Th,11.72
Pa,Pa,15.37
U,U,18.95
Np,Np,20.25
Pu,Pu,19.84
Am,Am,13.67
Cm,Cm,13.51
Bk,Bk,14.0
Cf,Cf,10.0
A-150 Tissue-Equivalent Plastic,H0.1003C0.0646N0.0025O0.0033F0.0009Ca0.0005,1.127
Acetone,H0.1031C0.0517O0.0172,0.7899
Acetylene,H0.0767C0.0768,0.001097
Adenine,H0.0369C0.037N0.037,1.35
Adipose Tissue (ICRP),H0.1183C0.0531N0.0006O0.0145Na0.0Mg0.0P0.0S0.0Cl0.0K0.0Ca0.0Fe0.0Zn0.0,0.92
"Air, Dry (near sea level)",C0.0N0.0539O0.0145Ar0.0003,0.001205
Alanine,H0.0784C0.0337N0.0112O0.0224,1.42
Aluminum Oxide,O0.0294Al0.0196,3.97
Amber,H0.1049C0.0657O0.0066,1.1
Ammonia,H0.1758N0.0587,0.000826
Aniline,H0.075C0.0644N0.0107,1.0235
Anthracene,H0.056C0.0786,1.283
B-100 Bone-Equivalent Plastic,H0.0648C0.0447N0.0015O0.002F0.0088Ca0.0044,1.45
Bakelite,H0.0569C0.0645O0.0105,1.25
Barium Fluoride,F0.0114Ba0.0057,4.89
Barium Sulfate,O0.0171S0.0043Ba0.0043,4.5
Benzene,H0.0767C0.0768,0.87865
Beryllium oxide,Be0.04O0.04,3.01
Bismuth Germanium oxide,O0.0096Ge0.0024Bi0.0032,7.13
Blood (ICRP),H0.1009C0.0083N0.0021O0.0475Na0.0001Mg0.0Si0.0P0.0S0.0001Cl0.0001K0.0Ca0.0Fe0.0Zn0.0,1.06
"Bone, Compact (ICRU)",H0.0634C0.0231N0.0019O0.0256Mg0.0001P0.0023S0.0001Ca0.0037,1.85
"Bone, Cortical (ICRP)",H0.0468C0.012N0.003O0.0279Mg0.0001P0.0034S0.0001Ca0.0052Zn0.0,1.85
Boron Carbide,B0.0724C0.0181,2.52
Boron Oxide,B0.0287O0.0431,1.812
Brain (ICRP),H0.1096C0.0104N0.0009O0.0461Na0.0001Mg0.0P0.0001S0.0001Cl0.0001K0.0001Ca0.0Fe0.0Zn0.0,1.03
Butane,H0.1717C0.0688,0.002493
N-Butyl Alcohol,H0.1346C0.054O0.0135,0.8098
C-552 Air-Equivalent Plastic,H0.0244C0.0418O0.0003F0.0245Si0.0001,1.76
Cadmium Telluride,Cd0.0042Te0.0042,6.2
Cadmium Tungstate,O0.0111Cd0.0028W0.0028,7.9
Calcium Carbonate,C0.01O0.03Ca0.01,2.8
Calcium Fluoride,F0.0256Ca0.0128,3.18
Calcium Oxide,O0.0178Ca0.0178,3.3
Calcium Sulfate,O0.0294S0.0073Ca0.0073,2.96
Calcium Tungstate,O0.0139Ca0.0035W0.0035,6.062
Carbon Dioxide,C0.0227O0.0454,0.001842
Carbon Tetrachloride,C0.0065Cl0.026,1.594
"Cellulose Acetate, Cellophane",H0.0615C0.037O0.0308,1.42
Cellulose Acetate Butyrate,H0.0665C0.0454O0.0242,1.2
Cellulose Nitrate,H0.0289C0.0226N0.0087O0.0361,1.49
Ceric Sulfate Dosimeter Solution,H0.1065N0.0001O0.0547S0.0005Ce0.0,1.03
Cesium Fluoride,F0.0066Cs0.0066,4.115
Cesium Iodide,I0.0038Cs0.0038,4.51
Chlorobenzene,H0.0443C0.0533Cl0.0089,1.1058
Chloroform,H0.0084C0.0084Cl0.0251,1.4832
"Concrete, Portland",H0.0099C0.0001O0.0331Na0.0007Mg0.0001Al0.0013Si0.012K0.0003Ca0.0011Fe0.0003,2.3
Cyclohexane,H0.1423C0.0713,0.779
"1,2-Ddihlorobenzene",H0.0272C0.0408Cl0.0136,1.3048
Dichlorodiethyl Ether,H0.0558C0.028O0.007Cl0.014,1.2199
"1,2-Dichloroethane",H0.0403C0.0202Cl0.0202,1.2351
Diethyl Ether,H0.1346C0.054O0.0135,0.71378
"N,N-Dimethyl Formamide",H0.0956C0.041N0.0137O0.0137,0.9487
Dimethyl Sulfoxide,H0.0766C0.0256O0.0128S0.0128,1.1014
Ethane,H0.1991C0.0665,0.001253
Ethyl Alcohol,H0.13C0.0434O0.0217,0.7893
Ethyl Cellulose,H0.0891C0.0487O0.0203,1.13
Ethylene,H0.1423C0.0713,0.001175
Eye Lens (ICRP),H0.0983C0.0161N0.0038O0.0409,1.1
Ferric Oxide,O0.0188Fe0.0125,5.2
Ferroboride,B0.015Fe0.015,7.15
Ferrous Oxide,O0.0139Fe0.0139,5.7
Ferrous Sulfate Dosimeter Solution,H0.1072N0.0O0.0549Na0.0S0.0004Cl0.0Fe0.0,1.024
Freon-12,C0.0083F0.0165Cl0.0165,1.12
Freon-12B2,C0.0048F0.0095Br0.0095,1.8
Freon-13,C0.0096F0.0287Cl0.0096,0.95
Freon-13B1,C0.0067F0.0201Br0.0067,1.5
Freon-13I1,C0.0051F0.0153I0.0051,1.8
Gadolinium Oxysulfide,O0.0053S0.0026Gd0.0053,7.44
Gallium Arsenide,Ga0.0069As0.0069,5.31
Gel in Photographic Emulsion,H0.0804C0.0346N0.0079O0.0238S0.0003,1.2914
"Glass, Pyrex",B0.0037O0.0337Na0.0012Al0.0004Si0.0134K0.0001,2.23
"Glass, Lead",O0.0098Si0.0029Ti0.0002As0.0Pb0.0036,6.22
"Glass, Plate",O0.0287Na0.0042Si0.012Ca0.0027,2.4
Glucose,H0.0705C0.0303O0.0353,1.54
Glutamine,H0.0683C0.0342N0.0137O0.0205,1.46
Glycerol,H0.0867C0.0326O0.0326,1.2613
Guanine,H0.033C0.0331N0.0331O0.0066,1.58
"Gypsum, Plaster of Paris",H0.0232O0.0348S0.0058Ca0.0058,2.32
N-Heptane,H0.1593C0.0699,0.68376
N-Hexane,H0.1621C0.0696,0.6603
Kapton Polyimide Film,H0.0261C0.0575N0.0052O0.0131,1.42
Lanthanum Oxybromide,O0.0043Br0.0043La0.0043,6.28
Lanthanum Oxysulfide,O0.0059S0.0029La0.0058,5.86
Lead Oxide,O0.0045Pb0.0045,9.53
Lithium Amide,H0.0869Li0.0436N0.0435,1.178
Lithium Carbonate,Li0.0271C0.0135O0.0406,2.11
Lithium Fluoride,Li0.0386F0.0385,2.635
Lithium Hydride,H0.1255Li0.1258,0.82
Lithium Iodide,Li0.0075I0.0075,3.494
Lithium Oxide,Li0.0669O0.0335,2.013
Lithium Tetraborate,Li0.0118B0.0237O0.0414,2.44
